Date,Import_kWh,Export_kWh,Generation_kWh,Load_kWh
2024-02-15,1.7519999999999991,20.557000000000002,20.557000000000002,1.7519999999999991
2024-02-16,1.6489999999999998,27.086000000000006,27.086000000000006,1.6489999999999998
2024-02-17,1.6390000000000002,31.273999999999997,31.273999999999997,1.6390000000000002
2024-02-18,1.79,37.300999999999995,37.300999999999995,1.79
2024-02-19,1.5770000000000002,26.767000000000007,26.767000000000007,1.5770000000000002
2024-02-20,2.0159999999999996,26.162999999999993,26.162999999999993,2.0159999999999996
2024-02-21,1.7360000000000007,27.814,27.814,1.7360000000000007
2024-02-22,1.8399999999999994,23.634,23.634,1.8399999999999994
2024-02-23,1.659,19.833999999999996,19.833999999999996,1.659
2024-02-24,2.1259999999999994,32.531,39.07726666599999,8.672266665999993
2024-02-25,3.329999999999999,21.592999999999996,23.733383332999995,5.470383332999998
2024-02-26,2.737999999999998,26.839000000000002,30.647616666000005,6.546616666
2024-02-27,2.489999999999999,33.13099999999999,37.06025000200001,6.419250002000016
2024-02-28,3.0419999999999994,13.610999999999999,18.101900001,7.532900001000002
2024-02-29,3.054999999999999,25.08,29.148950000000003,7.123950000000003
2024-03-01,2.234999999999999,33.187999999999995,36.88033333699999,5.927333336999993
2024-03-02,3.0369999999999986,29.352999999999998,32.688733334,6.372733333999999
2024-03-03,2.4299999999999984,26.738000000000003,29.529150000999998,5.221150000999993
2024-03-04,3.1599999999999993,33.011,36.97635000099999,7.1253500009999895
2024-03-05,2.9439999999999995,32.491,35.384566665,5.837566665000001
2024-03-06,2.9769999999999985,25.498999999999995,28.979866667,6.457866667000003
2024-03-07,3.805999999999999,27.891000000000002,32.340016666000004,8.255016666000001
2024-03-08,3.176,30.947000000000003,34.449216666,6.6782166659999955
2024-03-09,12.991,17.355999999999998,30.53438333499999,26.169383334999992
2024-03-10,4.258000000000001,29.241999999999997,32.422416666,7.438416666
2024-03-11,8.801,22.638,27.648166665999998,13.811166665999997
2024-03-12,4.917,6.436,9.574500000000002,8.055500000000002
2024-03-13,4.662000000000002,16.161,21.911150001000003,10.412150001000004
2024-03-14,2.8510000000000004,20.283,24.70836667,7.27636667
2024-03-15,4.372000000000001,30.528999999999996,33.065149999,6.9081499990000035
2024-03-16,4.581000000000001,28.845,32.56535,8.301350000000005
2024-03-17,4.984,27.925,31.618016666999992,8.677016666999991
2024-03-18,4.794999999999999,26.171,30.696066667,9.320066666999999
2024-03-19,3.1350000000000002,12.857999999999999,16.175749999999997,6.452749999999998
2024-03-20,3.017,27.117999999999995,30.79960000099999,6.6986000009999955
2024-03-21,3.1239999999999997,28.894000000000002,32.692883333000005,6.922883333000002
2024-03-22,5.522,28.108,32.194933367000004,9.608933367000004
2024-03-23,3.7699999999999996,21.186000000000007,25.333049999,7.9170499989999925
2024-03-24,3.954000000000001,25.325999999999997,28.013233334000006,6.64123333400001
2024-03-25,2.852,23.897,27.264900033,6.219900033000002
2024-03-26,3.8069999999999995,21.177,25.458299998999998,8.088299998999997
2024-03-27,3.3590000000000004,20.958,24.364883332,6.765883332000003
2024-03-28,4.045,18.271,20.743483333,6.5174833329999995
2024-03-29,3.747,22.125999999999998,29.090300001000003,10.711300001000005
2024-03-30,4.55,25.689999999999998,29.789466667000003,8.649466667000006
2024-03-31,4.9190000000000005,23.843000000000004,28.270783336000004,9.346783336000001
2024-04-01,9.129999999999999,5.4159999999999995,9.412400000999998,13.126400000999997
2024-04-02,5.974,12.331999999999999,16.556366634000003,10.198366634000005
2024-04-03,4.6290000000000004,10.687000000000001,14.251916665000003,8.193916665000003
2024-04-04,2.317,11.82,13.553283333,4.050283332999999
2024-04-05,2.4239999999999995,16.151999999999997,17.734016667,4.006016667000001
2024-04-06,5.148999999999999,11.319,14.991250035,8.821250034999998
2024-04-07,4.639999999999998,19.909,22.236000001,6.967000001
2024-04-08,5.681000000000002,15.106000000000002,18.240650002000002,8.815650002000002
2024-04-09,5.979999999999999,16.411,19.691399998999998,9.260399998999995
2024-04-10,3.407999999999999,11.467999999999998,13.890275001000004,5.830275001000006
2024-04-11,6.654,12.711,16.839543056000004,10.782543056000003
2024-04-12,5.848000000000001,8.976999999999997,11.827164446000001,8.698164446000005
2024-04-13,4.157,11.84,14.393886665000002,6.710886665000002
2024-04-14,4.542000000000001,19.916000000000004,23.509659166999995,8.135659166999993
2024-04-15,4.534,15.887000000000002,19.523835558,8.170835557999997
2024-04-16,3.868,8.068999999999999,11.151420556,6.950420556000001
2024-04-17,3.7510000000000003,14.906000000000002,17.922851422,6.767851421999999
2024-04-18,4.0440000000000005,8.546999999999999,12.252064446,7.749064446000002
2024-04-19,3.880999999999999,14.81,17.282268056000007,6.3532680560000045
2024-04-20,4.1770000000000005,13.312000000000001,16.227734753,7.092734752999999
2024-04-21,5.006,20.343,23.605969722999998,8.268969722999998
2024-04-22,3.2700000000000005,20.227999999999998,24.322063056,7.3640630560000035
2024-04-23,3.3919999999999995,16.498999999999995,20.224535000999996,7.117535001
2024-04-24,2.195,17.222,19.40012889,4.37312889
2024-04-25,1.778,15.513999999999998,16.923168886,3.1871688860000016
2024-04-26,8.047,5.974,8.066699412,10.139699412
2024-04-27,3.053,18.769,21.614411666999995,5.898411666999997
2024-04-28,3.544,18.528000000000002,22.620753055000005,7.636753055000003
2024-04-29,5.222,8.106,10.283954441999999,7.399954441999999
2024-04-30,5.085999999999999,11.167,13.435445833,7.354445832999999
2024-05-01,4.654,20.126,22.487900833,7.015900833
2024-05-02,5.109,17.400000000000002,20.733703056,8.442703055999997
