,Date,Export_kWh,Import_kWh,Generation_kWh,Load_kWh
0,2024-11-01,31.821,2.8509999999999995,35.58705287356314,6.617052873563136
1,2024-11-02,27.009999999999998,3.92,31.77867126436775,8.68867126436775
2,2024-11-03,36.248,4.297,40.53372586206889,8.582725862068894
3,2024-11-04,29.399999999999995,2.4909999999999997,33.191487684729,6.282487684729002
4,2024-11-05,34.087999999999994,2.6789999999999994,40.71040689655165,9.301406896551658
5,2024-11-06,22.177999999999997,2.1849999999999996,29.377025426859177,9.384025426859179
6,2024-11-07,26.799999999999994,3.0300000000000002,32.67225804597694,8.902258045976946
7,2024-11-08,24.389999999999997,2.572999999999999,29.872956321839034,8.055956321839036
8,2024-11-09,22.913999999999998,3.7359999999999998,27.96016839080453,8.782168390804532
9,2024-11-10,31.635,2.2060000000000004,36.15924195402292,6.730241954022916
10,2024-11-11,30.997999999999998,2.1510000000000002,36.16634272030645,7.319342720306455
11,2024-11-12,20.729,2.409,25.142444827586164,6.822444827586165
12,2024-11-13,24.697000000000003,3.2950000000000004,28.618685632183883,7.21668563218388
13,2024-11-14,29.699999999999996,2.301,35.50431781609189,8.105317816091896
14,2024-11-15,36.60600000000001,2.0180000000000002,42.78327356321831,8.1952735632183
15,2024-11-16,27.474999999999994,3.714000000000001,36.8942993842364,13.133299384236404
16,2024-11-17,21.410000000000004,3.0500000000000003,25.660174712643638,7.300174712643635
17,2024-11-18,26.869999999999994,2.743,31.885778735632123,7.758778735632129
18,2024-11-19,32.97,3.0580000000000007,38.92289367816087,9.010893678160869
19,2024-11-20,33.026,1.9279999999999997,37.3965718390804,6.298571839080398
20,2024-11-21,34.032,1.887,43.8632166666666,11.718216666666606
21,2024-11-22,33.65,1.7710000000000001,37.2351626436781,5.356162643678103
22,2024-11-23,24.568,1.5250000000000001,27.188661494252813,4.145661494252812
23,2024-11-24,10.305000000000001,2.2570000000000006,13.399621072796918,5.351621072796918
24,2024-11-25,10.449,2.13,14.369184482758591,6.050184482758591
25,2024-11-26,23.280999999999995,2.6410000000000005,29.22510811918974,8.585108119189746
26,2024-11-27,22.937999999999995,2.671999999999999,27.56310457307056,7.297104573070564
27,2024-11-28,35.45199999999999,2.2340000000000004,40.660654022988425,7.4426540229884335
28,2024-11-29,36.285,2.3609999999999998,42.047686781609116,8.12368678160912
29,2024-11-30,7.13,4.123999999999999,11.380880459770102,8.3748804597701
30,2024-12-01,15.629999999999997,2.1659999999999995,21.208364942528696,7.744364942528699
31,2024-12-02,33.562000000000005,3.0580000000000003,40.18828160919534,9.684281609195338
32,2024-12-03,30.334999999999997,2.056,35.20345128918166,6.92445128918166
33,2024-12-04,41.183,2.106,45.65917003284063,6.582170032840628
34,2024-12-05,31.868999999999996,7.899,43.63438160919534,19.664381609195342
35,2024-12-06,11.689,3.1819999999999955,15.876751724137916,7.369751724137911
36,2024-12-07,21.866000000000003,2.680999999999998,27.749272222222167,8.564272222222161
37,2024-12-08,34.319,2.839999999999999,39.50654536124787,8.02754536124787
